office,state_po,district,special,ext_D,ext_R,scored_D,scored_R,ideology_gap,year
HOUSE,FL,3,False,0.0,0.127,False,True,0.127,2018
HOUSE,FL,4,False,0.0,-0.0969999999999999,False,True,-0.0969999999999999,2018
HOUSE,FL,5,False,-0.474,0.0,True,False,0.474,2018
HOUSE,FL,6,False,0.0,0.0,False,False,0.0,2018
HOUSE,FL,7,False,0.1939999999999999,0.0,True,False,-0.1939999999999999,2018
HOUSE,FL,8,False,0.0,-0.0209999999999999,False,True,-0.0209999999999999,2018
HOUSE,FL,9,False,-0.269,-0.2099999999999999,True,True,0.059,2018
HOUSE,FL,10,False,-0.131,,True,,0.131,2018
HOUSE,FL,11,False,0.0,0.024,False,True,0.024,2018
HOUSE,FL,12,False,0.0,-0.4369999999999999,False,True,-0.4369999999999999,2018
HOUSE,FL,13,False,-1.35,0.0,True,False,1.35,2018
HOUSE,FL,14,False,-0.271,,True,,0.271,2018
HOUSE,FL,15,False,0.0,0.0,False,False,0.0,2018
HOUSE,FL,16,False,0.0,-0.137,False,True,-0.137,2018
HOUSE,FL,17,False,0.433,0.0,True,False,-0.433,2018
HOUSE,FL,18,False,0.0,0.098,False,True,0.098,2018
HOUSE,FL,19,False,0.0,0.0989999999999999,False,True,0.0989999999999999,2018
HOUSE,FL,20,False,-0.363,,True,,0.363,2018
HOUSE,FL,21,False,-0.145,,True,,0.145,2018
HOUSE,FL,22,False,-0.338,0.0,True,False,0.338,2018
HOUSE,FL,23,False,0.0969999999999999,0.3520000000000001,True,True,0.2550000000000001,2018
HOUSE,FL,24,False,0.0669999999999999,,True,,-0.0669999999999999,2018
HOUSE,FL,25,False,0.0,-0.499,False,True,-0.499,2018
HOUSE,FL,26,False,0.0,-0.25,False,True,-0.25,2018
HOUSE,FL,27,False,0.0,0.0,False,False,0.0,2018
HOUSE,GA,1,False,0.0,-0.02,False,True,-0.02,2018
HOUSE,GA,2,False,-0.537,0.0,True,False,0.537,2018
HOUSE,GA,3,False,0.0,0.06,False,True,0.06,2018
HOUSE,GA,4,False,0.045,0.0,True,False,-0.045,2018
HOUSE,GA,5,False,-0.212,,True,,0.212,2018
HOUSE,GA,6,False,0.0,0.0,False,False,0.0,2018
HOUSE,GA,7,False,0.0,0.006,False,True,0.006,2018
HOUSE,GA,8,False,,0.1340000000000001,,True,0.1340000000000001,2018
HOUSE,GA,9,False,0.0,-0.0769999999999999,False,True,-0.0769999999999999,2018
HOUSE,GA,10,False,0.0,0.3640000000000001,False,True,0.3640000000000001,2018
HOUSE,GA,11,False,0.0,0.1009999999999999,False,True,0.1009999999999999,2018
HOUSE,GA,12,False,0.0,0.2159999999999999,False,True,0.2159999999999999,2018
HOUSE,GA,13,False,-0.593,0.0,True,False,0.593,2018
HOUSE,GA,14,False,0.0,0.0,False,False,0.0,2018
HOUSE,HI,1,False,-0.24,0.0,True,False,0.24,2018
HOUSE,HI,2,False,0.245,0.0,True,False,-0.245,2018
HOUSE,IA,1,False,0.0,0.357,False,True,0.357,2018
HOUSE,IA,2,False,0.266,0.2949999999999999,True,True,0.0289999999999999,2018
HOUSE,IA,3,False,0.0,0.0689999999999999,False,True,0.0689999999999999,2018
HOUSE,IA,4,False,0.0,0.383,False,True,0.383,2018
HOUSE,ID,1,False,0.0,0.0,False,False,0.0,2018
HOUSE,ID,2,False,0.0,-0.369,False,True,-0.369,2018
HOUSE,IL,1,False,0.239,0.0,True,False,-0.239,2018
HOUSE,IL,2,False,0.122,0.0,True,False,-0.122,2018
HOUSE,IL,3,False,-0.1099999999999999,0.0,True,False,0.1099999999999999,2018
HOUSE,IL,4,False,0.0,0.0,False,False,0.0,2018
HOUSE,IL,5,False,0.027,0.0,True,False,-0.027,2018
HOUSE,IL,6,False,0.0,-0.127,False,True,-0.127,2018
HOUSE,IL,7,False,-0.1119999999999999,0.0,True,False,0.1119999999999999,2018
HOUSE,IL,8,False,0.0759999999999999,0.0,True,False,-0.0759999999999999,2018
HOUSE,IL,9,False,0.4619999999999999,0.0,True,False,-0.4619999999999999,2018
HOUSE,IL,10,False,0.1929999999999999,0.0,True,False,-0.1929999999999999,2018
HOUSE,IL,11,False,0.395,0.036,True,True,-0.359,2018
HOUSE,IL,12,False,0.0,-0.2059999999999999,False,True,-0.2059999999999999,2018
HOUSE,IL,13,False,0.0,-0.361,False,True,-0.361,2018
HOUSE,IL,14,False,0.0,-0.118,False,True,-0.118,2018
HOUSE,IL,15,False,0.0,-0.235,False,True,-0.235,2018
HOUSE,IL,16,False,0.0,-0.268,False,True,-0.268,2018
HOUSE,IL,17,False,0.251,0.0,True,False,-0.251,2018
HOUSE,IL,18,False,0.155,-0.2149999999999999,True,True,-0.37,2018
HOUSE,IN,1,False,-0.347,0.1619999999999999,True,True,0.5089999999999999,2018
HOUSE,IN,2,False,0.0,0.1109999999999999,False,True,0.1109999999999999,2018
HOUSE,IN,3,False,0.0,0.322,False,True,0.322,2018
HOUSE,IN,4,False,0.0,0.0,False,False,0.0,2018
HOUSE,IN,5,False,0.0,0.0230000000000001,False,True,0.0230000000000001,2018
HOUSE,IN,6,False,0.0,0.0,False,False,0.0,2018
HOUSE,IN,7,False,0.0889999999999999,0.6480000000000001,True,True,0.5590000000000002,2018
HOUSE,IN,8,False,0.0,0.086,False,True,0.086,2018
HOUSE,IN,9,False,0.0,0.078,False,True,0.078,2018
HOUSE,KS,1,False,-0.417,0.012,True,True,0.429,2018
HOUSE,KS,2,False,0.0,0.0,False,False,0.0,2018
HOUSE,KS,3,False,0.0,-0.0069999999999998,False,True,-0.0069999999999998,2018
HOUSE,KS,4,False,0.0,0.0,False,False,0.0,2018
HOUSE,KY,1,False,0.0,-0.3029999999999999,False,True,-0.3029999999999999,2018
HOUSE,KY,2,False,0.0,-0.2099999999999999,False,True,-0.2099999999999999,2018
HOUSE,KY,3,False,-0.059,0.0,True,False,0.059,2018
HOUSE,KY,4,False,0.0,0.2390000000000001,False,True,0.2390000000000001,2018
HOUSE,KY,5,False,0.4119999999999999,-0.4239999999999999,True,True,-0.8359999999999999,2018
HOUSE,KY,6,False,0.0,-0.1819999999999999,False,True,-0.1819999999999999,2018
HOUSE,LA,1,False,0.0,-0.24,False,True,-0.24,2018
HOUSE,LA,2,False,-0.441,,True,,0.441,2018
HOUSE,LA,3,False,0.0,0.2410000000000001,False,True,0.2410000000000001,2018
HOUSE,LA,4,False,0.0,0.197,False,True,0.197,2018
HOUSE,LA,5,False,0.0,-0.002,False,True,-0.002,2018
HOUSE,LA,6,False,0.0,-0.251,False,True,-0.251,2018
HOUSE,MA,1,False,-0.312,,True,,0.312,2018
HOUSE,MA,2,False,0.0659999999999999,0.0,True,False,-0.0659999999999999,2018
HOUSE,MA,3,False,0.0,0.0,False,False,0.0,2018
HOUSE,MA,4,False,0.0809999999999999,,True,,-0.0809999999999999,2018
HOUSE,MA,5,False,0.1899999999999999,0.0,True,False,-0.1899999999999999,2018
HOUSE,MA,6,False,0.0649999999999999,0.0,True,False,-0.0649999999999999,2018
HOUSE,MA,7,False,0.0,,False,,0.0,2018
HOUSE,MA,8,False,-0.184,,True,,0.184,2018
HOUSE,MA,9,False,-0.0769999999999999,0.0,True,False,0.0769999999999999,2018
HOUSE,MD,1,False,0.0,-0.1709999999999999,False,True,-0.1709999999999999,2018
HOUSE,MD,2,False,-0.4679999999999999,0.0,True,False,0.4679999999999999,2018
HOUSE,MD,3,False,0.0969999999999999,0.0,True,False,-0.0969999999999999,2018
HOUSE,MD,4,False,-0.047,0.0,True,False,0.047,2018
HOUSE,MD,5,False,-0.172,0.0,True,False,0.172,2018
HOUSE,MD,6,False,0.0,-0.3009999999999999,False,True,-0.3009999999999999,2018
HOUSE,MD,7,False,-0.028,0.0,True,False,0.028,2018
HOUSE,MD,8,False,0.3359999999999999,0.0,True,False,-0.3359999999999999,2018
