year,state_po,special,margin,winner,winner_side,dem_key,rep_key,incumbent_side,office,lean,expected,resid
1994,AZ,False,-15.18808175109175,JON KYL,R,COPPERSMITH S,KYL J,0.0,SEN,-9.845199642331252,-16.89104318549403,1.7029614344022814
1994,CA,False,2.0795705382266205,DIANNE FEINSTEIN,D,FEINSTEIN D,HUFFINGTON M,0.0,SEN,9.792065862450784,2.7462223192880044,-0.6666517810613839
1994,CT,False,13.993881529771675,JOSEPH I. LIEBERMAN,D,LIEBERMAN J,LABRIOLA J,0.0,SEN,1.0088417385459776,-6.037001804616802,20.030883334388477
1994,DE,False,-13.56446880080158,"WILLIAM V. ROTH, JR.",R,OBERLY C,ROTH W,0.0,SEN,3.1545937331432006,-3.8912498100195787,-9.673218990782
1994,FL,False,-41.030552804012494,CONNIE MACK,R,RODHAM H,MACK C,0.0,SEN,-9.635073855469349,-16.68091739863213,-24.349635405380365
1994,HI,False,49.595485082143824,DANIEL K. AKAKA,D,AKAKA D,HUSTACE M,0.0,SEN,6.198563785335227,-0.8472797578275522,50.442764839971375
1994,IN,False,-37.66002129203456,RICHARD G. LUGAR,R,JONTZ J,LUGAR R,0.0,SEN,-14.911180744184914,-21.957024287347693,-15.702997004686864
1994,MA,False,17.22210725292674,EDWARD M. KENNEDY,D,KENNEDY E,ROMNEY W,0.0,SEN,16.943065666095755,9.897222122932977,7.324885129993763
1994,MD,False,18.203870907421514,PAUL S. SARBANES,D,SARBANES P,BROCK W,0.0,SEN,9.358408402127928,2.312564858965149,15.891306048456364
1994,ME,False,-24.7229336861655,OLYMPIA J. SNOWE,R,ANDREWS T,SNOWE O,0.0,SEN,4.870354052789243,-2.1754894903735362,-22.547444195791964
1994,MI,False,-9.647084969771472,SPENCER ABRAHAM,R,CARR B,ABRAHAM S,0.0,SEN,1.9889276176348707,-5.056915925527909,-4.590169044243563
1994,MN,False,-5.315913347336655,ROD GRAMS,R,WYNIA A,GRAMS R,0.0,SEN,8.20128877266534,1.1554452295025603,-6.471358576839215
1994,MO,False,-25.176550878887454,JOHN ASHCROFT,R,WHEAT A,ASHCROFT J,0.0,SEN,5.772540524319743,-1.2733030188430359,-23.903247860044416
1994,MS,False,-37.59030398710706,TRENT LOTT,R,HARPER K,LOTT T,0.0,SEN,-17.098370611075765,-24.144214154238544,-13.44608983286852
1994,MT,False,-24.74321250503015,CONRAD R. BURNS,R,MUDD J,BURNS C,0.0,SEN,-3.79327742655678,-10.83912096971956,-13.904091535310592
1994,ND,False,15.965960253142082,KENT CONRAD,D,CONRAD K,CLAYBURGH B,0.0,SEN,-22.990801222124922,-30.0366447652877,46.00260501842978
1994,NE,False,9.797998148676824,J. ROBERT KERREY,D,KERREY J,STONEY J,0.0,SEN,-29.864852540970507,-36.910696084133285,46.70869423281011
1994,NJ,False,3.3626022700053158,FRANK R. LAUTENBERG,D,LAUTENBERG F,HAYTAIAN G,0.0,SEN,-4.400754972120481,-11.44659851528326,14.809200785288574
1994,NM,False,7.983343916166682,JEFF BINGAMAN,D,BINGAMAN J,MCMILLAN C,0.0,SEN,3.0429218632054384,-4.002921679957341,11.986265596124023
1994,NV,False,10.800859860958653,RICHARD H. BRYAN,D,BRYAN R,FURMAN H,0.0,SEN,-3.591836637071921,-10.6376801802347,21.438540041193352
1994,NY,False,19.25940303484761,DANIEL PATRICK MOYNIHAN,D,MOYNIHAN D,CASTRO B,0.0,SEN,16.980259132142486,9.934415588979707,9.324987445867905
1994,OH,False,-15.333702381554204,MIKE DEWINE,R,HYATT J,DEWINE M,0.0,SEN,-4.905064982398345,-11.950908525561125,-3.3827938559930786
1994,OK,True,-16.034391653242455,JAMES M. INHOFE,R,MCCURDY D,INHOFE J,0.0,SEN,-18.485628281544738,-25.531471824707516,9.497080171465061
1994,PA,False,-2.57699667747384,RICK SANTORUM,R,WOFFORD H,SANTORUM R,0.0,SEN,3.8556672457232333,-3.190176297439546,0.613179619965706
1994,RI,False,-29.046753216672265,JOHN H. CHAFEE,R,KUSHNER L,CHAFEE J,0.0,SEN,16.446053960108976,9.400210416946198,-38.446963633618466
1994,TN,False,-14.482190765683859,BILL FRIST,R,SASSER J,FRIST B,0.0,SEN,-2.04531838215546,-9.09116192531824,-5.391028840365619
1994,TN,True,-22.044343796662094,FRED THOMPSON,R,COOPER J,THOMPSON F,0.0,SEN,-2.04531838215546,-9.09116192531824,-12.953181871343855
1994,TX,False,-22.729523051449007,KAY BAILEY HUTCHISON,R,FISHER R,HUTCHISON K,0.0,SEN,-11.725718008078374,-18.771561551241152,-3.9579615002078548
1994,UT,False,-41.718444772774596,ORRIN G. HATCH,R,SHEA P,HATCH O,0.0,SEN,-34.74854990426804,-41.79439344743082,0.07594867465622457
1994,VA,False,3.084880772101776,CHARLES S. ROBB,D,ROBB C,NORTH O,0.0,SEN,-12.351417544594264,-19.397261087757045,22.48214185985882
1994,VT,False,-10.727596908090012,JAMES M. JEFFORDS,R,BACKUS J,JEFFORDS J,0.0,SEN,13.267011040706436,6.221167497543656,-16.948764405633668
1994,WA,False,-11.497006481105158,SLADE GORTON,R,SIMS R,GORTON S,0.0,SEN,7.942010468715069,0.8961669255522899,-12.393173406657448
1994,WI,False,17.789360314032,HERB KOHL,D,KOHL H,WELCH R,0.0,SEN,-1.652374672076478,-8.698218215239258,26.487578529271257
1994,WV,False,38.02335747001919,ROBERT C. BYRD,D,BYRD R,KLOS S,0.0,SEN,8.29628448757412,1.2504409444113405,36.772916525607855
1994,WY,False,-19.92870163249024,CRAIG THOMAS,R,SULLIVAN M,THOMAS C,0.0,SEN,-14.82543853510052,-21.8712820782633,1.942580445773057
1996,AL,False,-7.137519779141154,JEFF SESSIONS,R,BEDFORD R,SESSIONS J,0.0,SEN,-17.075790359078297,-16.325080286546598,9.187560507405443
1996,AR,False,-5.400841189199027,Y. TIM HUTCHINSON,R,BRYANT W,HUTCHINSON Y,0.0,SEN,9.097601677810562,9.84831175034226,-15.249152939541286
1996,CO,False,-5.833565481710822,WAYNE ALLARD,R,STRICKLAND T,ALLARD W,0.0,SEN,-11.126463312155286,-10.375753239623588,4.5421877579127665
1996,DE,False,22.316145080631152,JOSEPH R. BIDEN JR.,D,BIDEN J,CLATWORTHY R,0.0,SEN,7.639265213439494,8.389975285971191,13.92616979465996
1996,GA,False,1.3785364482943228,MAX CLELAND,D,CLELAND M,MILLNER G,0.0,SEN,-10.87258644880875,-10.121876376277053,11.500412824571375
1996,IA,False,5.170845450105434,TOM HARKIN,D,HARKIN T,LIGHTFOOT J,0.0,SEN,1.858729795765047,2.609439868296745,2.561405581808689
1996,ID,False,-17.659361681820258,LARRY E. CRAIG,R,MINNICK W,CRAIG L,0.0,SEN,-31.20610320313227,-30.45539313060057,12.796031448780312
1996,IL,False,15.93064861074505,RICHARD J. DURBIN,D,DURBIN R,SALVI A,0.0,SEN,9.602136319215134,10.352846391746832,5.577802218998219
1996,KS,False,-28.599083598260986,PAT ROBERTS,R,THOMPSON S,ROBERTS P,0.0,SEN,-29.7527791476687,-29.002069075137,0.40298547687601527
1996,KS,True,-10.882828760871769,SAM BROWNBACK,R,DOCKING J,BROWNBACK S,0.0,SEN,-29.7527791476687,-29.002069075137,18.119240314265234
1996,KY,False,-12.825438237368132,MITCH MCCONNELL,R,BESHEAR S,MCCONNELL M,0.0,SEN,-8.549945683014714,-7.7992356104830165,-5.026202626885116
1996,LA,False,0.3404501612256206,MARY L. LANDRIEU,D,LANDRIEU M,JENKINS L,0.0,SEN,3.51362849148388,4.264338564015578,-3.923888402789957
1996,MA,False,7.710752425567816,JOHN F. KERRY,D,KERRY J,WELD W,0.0,SEN,27.667602759129764,28.418312831661463,-20.70756040609365
1996,ME,False,-5.701959450843711,SUSAN M. COLLINS,R,BRENNAN J,COLLINS S,0.0,SEN,15.716192782010221,16.46690285454192,-22.16886230538563
1996,MI,False,18.822006556553795,CARL LEVIN,D,LEVIN C,ROMNEY R,0.0,SEN,5.040778681693141,5.791488754224838,13.030517802328957
1996,MN,False,9.863654367021,PAUL WELLSTONE,D,WELLSTONE P,BOSCHWITZ R,0.0,SEN,9.153330491051111,9.904040563582809,-0.04038619656180842
1996,MS,False,-44.346271569991245,THAD COCHRAN,R,HUNT J,COCHRAN T,0.0,SEN,-15.102495560874608,-14.35178548834291,-29.994486081648333
1996,MT,False,5.161881649594059,MAX BAUCUS,D,BAUCUS M,REHBERG D,0.0,SEN,-12.982868953148731,-12.232158880617034,17.394040530211093
1996,NC,False,-6.8245209365529655,JESSE HELMS,R,GANTT H,HELMS J,0.0,SEN,-14.668021391169692,-13.917311318637994,7.092790382085028
1996,NE,False,-14.811653020305604,CHUCK HAGEL,R,NELSON B,HAGEL C,0.0,SEN,-30.71769305326648,-29.96698298073478,15.155329960429176
1996,NH,False,-3.17325792356243,BOB SMITH,R,SWETT D,SMITH B,0.0,SEN,1.6152153696780118,2.3659254422097096,-5.539183365772139
1996,NJ,False,10.624520982120913,ROBERT G. TORRICELLI,D,TORRICELLI R,ZIMMER D,0.0,SEN,10.325538354924984,11.076248427456681,-0.45172744533576825
1996,NM,False,-36.97124022342084,PETE V. DOMENICI,R,TRUJILLO A,DOMENICI P,0.0,SEN,-1.5597869296372213,-0.8090768571055234,-36.16216336631532
1996,OK,False,-17.160447669929034,JAMES M. INHOFE,R,BOREN J,INHOFE J,-1.0,SEN,-18.409266265111967,-17.658556192580267,0.49810852265123273
1996,OR,False,-4.0689679543614306,GORDON SMITH,R,BRUGGERE T,SMITH G,0.0,SEN,-0.2218166123839609,0.5288934601477371,-4.597861414509167
1996,RI,False,28.853437007742066,JACK REED,D,REED J,MAYER N,0.0,SEN,28.400378723296413,29.151088795828112,-0.2976517880860463
1996,SC,False,-9.630972488747004,STROM THURMOND,R,CLOSE E,THURMOND S,0.0,SEN,-15.831999895671316,-15.081289823139619,5.450317334392615
1996,SD,False,2.64386554777233,TIM JOHNSON,D,JOHNSON T,PRESSLER L,0.0,SEN,-13.475218841969351,-12.724508769437653,15.368374317209984
1996,TN,False,-24.99967076841507,FRED THOMPSON,R,GORDON H,THOMPSON F,-1.0,SEN,-7.0347633679792985,-6.284053295447601,-18.715617472967466
1996,TX,False,-10.976062117975477,PHIL GRAMM,R,MORALES V,GRAMM P,0.0,SEN,-14.92929481594495,-14.178584743413252,3.2025226254377746
1996,VA,False,-5.092515029386927,JOHN W. WARNER,R,WARNER M,WARNER J,0.0,SEN,-11.729237065834191,-10.978526993302493,5.886011963915566
1996,WV,False,53.29592655646106,JOHN D. ROCKEFELLER IV,D,ROCKEFELLER J,BURKS B,0.0,SEN,7.101282300515315,7.851992373047013,45.44393418341405
1996,WY,False,-12.308396360576522,MICHAEL B. ENZI,R,KARPAN K,ENZI M,0.0,SEN,-24.58388292149236,-23.83317284896066,11.52477648838414
1998,AK,False,-58.13466047758051,FRANK H. MURKOWSKI,R,SONNEMAN J,MURKOWSKI F,0.0,SEN,-30.465053063368043,-31.287468709254128,-26.847191768326383
1998,AL,False,-26.5682094417121,RICHARD C. SHELBY,R,SUDDITH C,SHELBY R,0.0,SEN,-17.075790359078297,-17.898206004964383,-8.670003436747717
1998,AR,False,13.202532313992855,BLANCHE LAMBERT LINCOLN,D,LINCOLN B,BOOZMAN F,0.0,SEN,9.097601677810562,8.275186031924477,4.9273462820683775
1998,AZ,False,-43.35795085619381,JOHN MCCAIN,R,RANGER E,MCCAIN J,0.0,SEN,-7.160505747991889,-7.982921393877975,-35.37502946231584
1998,CA,False,10.456656081162821,BARBARA BOXER,D,BOXER B,FONG M,0.0,SEN,4.824482410237481,4.002066764351396,6.4545893168114254
1998,CO,False,-28.174734414940144,BEN NIGHTHORSE CAMPBELL,R,LAMM D,CAMPBELL B,0.0,SEN,-11.126463312155286,-11.948878958041371,-16.22585545689877
