year,state_po,district,incumbent,side,edge,edge_hindsight,prev_edge,first_term,same_district
2016,AK,0,DON YOUNG,-1,-2.298473827161164,-3.2657016543127995,-12.21892600201905,1,1
2016,AL,2,MARTHA ROBY,-1,-21.70402522674773,-26.36595473494086,-0.359309717269527,1,1
2016,AL,3,MIKE ROGERS,-1,4.066950615934733,-2.777408034423221,-1.7658879541689974,1,1
2016,AL,6,GARY PALMER,-1,-5.232244135335499,-0.025732492924536388,-6.039501752500803,1,1
2016,AZ,2,MARTHA MCSALLY,-1,8.14333780601833,16.10099370072621,-9.935939904655594,1,1
2016,AZ,4,PAUL A GOSAR,-1,1.7954541257593277,-2.3323603412026266,0.7848122197664384,1,1
2016,AZ,6,DAVID SCHWEIKERT,-1,-1.045111068060585,10.699883984225584,0.18187225944277863,1,1
2016,AZ,9,KYRSTEN SINEMA,1,21.52493715902134,7.387285344377517,17.152024130526048,1,1
2016,CA,1,DOUG LAMALFA,-1,-2.962967533120729,-6.157318039505416,-3.2447418379963313,1,1
2016,CA,2,JARED HUFFMAN,1,14.197905421230494,7.199913548462998,14.7159627308514,1,1
2016,CA,3,JOHN GARAMENDI,1,11.45159659693691,8.224673376042604,2.4336801112740396,1,1
2016,CA,6,DORIS O MATSUI,1,13.212620446770558,6.002957125490649,11.972567032599626,1,1
2016,CA,7,AMI BERA,1,2.492089382783874,-6.876842119283971,5.177611188612147,1,1
2016,CA,8,PAUL COOK,-1,5.982617351290468,5.491138793513191,12.524560428864545,1,1
2016,CA,9,JERRY MCNERNEY,1,0.8870788185160965,-1.9305141620061814,-4.855473436853325,1,1
2016,CA,11,MARK DESAULNIER,1,9.82876035330203,-4.686852896867901,4.506711503203297,1,1
2016,CA,14,JACKIE SPEIER,1,14.235718204381072,3.0139264862589776,10.137169088733385,1,1
2016,CA,15,ERIC SWALWELL,1,12.721992427376037,1.9804086254485362,9.034780520712223,1,1
2016,CA,16,JIM COSTA,1,0.725554671839383,-3.799497026823314,-9.646006070326662,1,1
2016,CA,18,ANNA G ESHOO,1,6.063969001174705,-11.535431923579136,3.5183347990612557,1,1
2016,CA,21,DAVID G VALADAO,-1,20.543805318485788,26.797335196565598,18.499819268264574,1,1
2016,CA,22,DEVIN NUNES,-1,15.60753347607038,22.086336074454184,20.311754290124995,1,1
2016,CA,23,KEVIN MCCARTHY,-1,8.077925216008644,11.98348312525762,15.17081217238262,1,1
