date,state_po,district,held_by,winner,flipped,chamber,special_margin,pres_margin,overperformance,pres_baseline,year
2017-12-19,TN,SD-17,R,R,False,US House,-3.0,-48.0,46.0,2016,2017
2018-01-16,WI,AD-58,R,R,False,US House,-13.0,-38.0,25.0,2016,2018
2018-01-16,WI,SD-10,R,D,True,US House,10.0,-17.0,28.0,2016,2018
2018-01-16,SC,HD-99,R,R,False,US House,-13.0,-23.0,10.0,2016,2018
2018-01-16,IA,HD-06,R,R,False,US House,-11.0,-33.0,22.0,2016,2018
2018-01-23,PA,HD-35,D,D,False,US House,48.0,18.0,29.0,2016,2018
2018-02-06,MO,HD-144,R,R,False,US House,-5.0,-59.0,53.0,2016,2018
2018-02-06,MO,HD-129,R,R,False,US House,-38.0,-64.0,25.0,2016,2018
2018-02-06,MO,HD-97,R,D,True,US House,3.0,-28.0,31.0,2016,2018
2018-02-06,MO,HD-39,R,R,False,US House,-29.0,-47.0,18.0,2016,2018
2018-02-12,MN,HD-23B,R,R,False,state legislature,-19.0,-27.0,7.0,2016,2018
2018-02-12,MN,SD-54,D,D,False,US House,4.0,-1.0,5.0,2016,2018
2018-02-13,FL,HD-72,R,D,True,US House,7.0,-5.0,12.0,2016,2018
2018-02-13,OK,SD-27,R,R,False,US House,-36.0,-73.0,37.0,2016,2018
2018-02-20,KY,HD-49,R,D,True,US House,37.0,-49.0,86.0,2016,2018
2018-02-27,NH,HD-Belknap-03,R,D,True,state legislature,7.0,-12.0,19.0,2016,2018
2018-02-27,KY,HD-89,R,R,False,US House,-34.0,-62.0,28.0,2016,2018
2018-02-27,CT,HD-120,R,D,True,US House,2.0,2.0,-0.1,2016,2018
2018-03-06,OK,HD-51,R,R,False,US House,-44.0,-65.0,21.0,2016,2018
2018-03-13,TN,SD-14,R,R,False,US House,-43.0,-44.0,0.05,2016,2018
2018-03-13,PA,PA-18,R,D,True,US House,0.3,-20.0,20.0,2016,2018
2018-03-27,AL,HD-21,R,R,False,US House,-6.0,31.0,-37.0,2016,2018
2018-04-03,RI,SD-08,D,D,False,US House,45.0,31.0,14.0,2016,2018
2018-04-03,MA,HD-Bristol-02,D,D,False,state legislature,4.0,9.0,-5.0,2016,2018
2018-04-10,IA,SD-25,R,R,False,US House,-21.0,-26.0,5.0,2016,2018
2018-04-10,FL,SD-31,D,D,False,US House,50.0,25.0,25.0,2016,2018
2018-04-24,NY,AD-142,D,R,True,US House,-3.0,-6.0,3.0,2016,2018
2018-04-24,NY,AD-107,R,R,False,US House,-1.0,-4.0,3.0,2016,2018
2018-04-24,NY,AD-05,R,R,False,US House,-26.0,-24.0,-2.0,2016,2018
2018-04-24,NY,AD-80,D,D,False,US House,62.0,66.0,-4.0,2016,2018
2018-04-24,NY,AD-74,D,D,False,US House,85.0,74.0,10.0,2016,2018
2018-04-24,NY,AD-17,R,R,False,US House,-27.0,-19.0,-9.0,2016,2018
2018-04-24,NY,AD-10,R,D,True,US House,18.0,7.0,11.0,2016,2018
2018-04-24,NY,AD-102,R,R,False,US House,-1.0,-23.0,22.0,2016,2018
2018-04-24,NY,SD-37,D,D,False,US House,15.0,22.0,-7.0,2016,2018
2018-04-24,NY,SD-32,D,D,False,US House,86.0,88.0,-2.0,2016,2018
2018-04-24,AZ,AZ-08,R,R,False,US House,-5.0,-21.0,16.0,2016,2018
2018-05-01,FL,HD-114,D,D,False,US House,4.0,14.0,-10.0,2016,2018
2018-05-01,FL,HD-39,R,R,False,US House,-20.0,-19.0,-1.0,2016,2018
2018-05-15,PA,HD-178,R,D,True,US House,1.0,-3.0,4.0,2016,2018
2018-05-15,PA,HD-68,R,R,False,US House,-52.0,-54.0,2.0,2016,2018
2018-05-15,PA,HD-48,D,R,True,US House,-11.0,-15.0,4.0,2016,2018
2018-05-15,AL,HD-04,R,R,False,state legislature,-47.0,-47.0,0.1,2016,2018
2018-05-15,AL,SD-26,D,D,False,US House,78.0,58.0,20.0,2016,2018
2018-05-22,AR,SD-16,R,R,False,US House,-53.0,-52.0,-1.0,2016,2018
2018-05-22,AR,SD-29,R,R,False,US House,-62.0,-58.0,-5.0,2016,2018
2018-06-04,CT,HD-04,D,D,False,state legislature,60.0,79.0,-19.0,2016,2018
2018-06-05,CA,AD-45,D,D,False,US House,31.0,40.0,-9.0,2016,2018
2018-06-05,CA,AD-39,D,D,False,US House,42.0,55.0,-13.0,2016,2018
2018-06-05,MO,SD-17,R,D,True,US House,19.0,-4.0,24.0,2016,2018
2018-06-12,WI,AD-42,R,R,False,US House,-8.0,-14.0,6.0,2016,2018
2018-06-12,WI,SD-01,R,D,True,US House,3.0,-18.0,21.0,2016,2018
2018-08-07,CA,SD-32,D,D,False,US House,5.0,39.0,-34.0,2016,2018
2018-08-07,OH,OH-12,R,R,False,US House,-1.0,-11.0,10.0,2016,2018
2018-09-19,TX,SD-19,D,R,True,US House,-13.0,12.0,-25.0,2016,2018
2018-12-18,VA,HD-24,R,R,False,US House,-19.0,-34.0,15.0,2016,2018
2019-01-08,VA,SD-33,D,D,False,US House,40.0,32.0,8.0,2016,2019
2019-02-05,MN,SD-11,D,R,True,US House,-6.0,-13.0,7.0,2016,2019
2019-02-19,VA,HD-86,D,D,False,US House,25.0,35.0,-10.0,2016,2019
2019-02-23,LA,HD-27,R,R,False,US House,-84.0,-70.0,-14.0,2016,2019
2019-02-26,CT,SD-03,D,D,False,US House,18.0,21.0,-4.0,2016,2019
2019-02-26,CT,SD-05,D,D,False,US House,29.0,33.0,-4.0,2016,2019
2019-02-26,CT,HD-99,D,R,True,US House,-8.0,-10.0,2.0,2016,2019
2019-02-26,CT,HD-39,D,D,False,state legislature,37.0,55.0,-18.0,2016,2019
2019-02-26,CT,SD-06,D,R,True,US House,-6.0,23.0,-29.0,2016,2019
2019-03-05,KY,SD-31,D,R,True,US House,-5.0,-62.0,57.0,2016,2019
2019-03-12,TX,HD-125,D,D,False,US House,17.0,28.0,-11.0,2016,2019
2019-03-12,TN,SD-32,R,R,False,US House,-68.0,-40.0,-28.0,2016,2019
2019-03-12,PA,HD-190,D,D,False,state legislature,64.0,93.0,-29.0,2016,2019
2019-03-12,PA,HD-114,D,D,False,US House,25.0,-8.0,33.0,2016,2019
2019-03-12,ME,HD-124,D,D,False,US House,29.0,18.0,11.0,2016,2019
2019-03-19,MN,HD-11B,R,R,False,state legislature,-37.0,-30.0,-7.0,2016,2019
2019-03-19,IA,SD-30,D,D,False,US House,15.0,3.0,11.0,2016,2019
2019-03-26,SC,SD-06,R,R,False,US House,-11.0,-30.0,19.0,2016,2019
2019-03-30,LA,HD-18,D,D,False,US House,37.0,-18.0,55.0,2016,2019
2019-04-02,ME,HD-52,D,D,False,US House,33.0,25.0,8.0,2016,2019
