group,n,b,se,sd_before,sd_after,left_out
HOUSE,1333,1.6816381104792606,0.2982907844178365,5.945932761064948,5.878446129069042,none
SEN,127,4.612352906027694,1.4392181102540953,10.13801359667665,9.787094823016698,none
HOUSE,986,1.8047210014659152,0.32406975031648505,5.79772026191127,5.711446217091731,2018
SEN,95,4.804230444876278,1.3476261546724058,8.456473013737519,7.979041034257311,2018
HOUSE,1003,1.660546014892252,0.33602611149460154,5.890633599955848,5.823040404101765,2020
SEN,95,5.278650577641574,1.6719583107192761,11.176919803139889,10.684020681515731,2020
HOUSE,973,1.480103128897674,0.3484598574570434,5.66392734311285,5.614968718554063,2022
SEN,97,5.4589568313606645,1.9548416743088501,10.79463558978018,10.435154300385731,2022
HOUSE,1037,1.7510043346764712,0.36796569867325535,6.380763581594796,6.31519827882072,2024
SEN,94,2.921991106292044,1.6693494156397393,9.890199140828232,9.783382564819918,2024
