office,state_po,special,side,candidate,tier,description
GOV,NM,False,rep,Gregg Hull,2,"Gregg Hull , mayor of Rio Rancho (2014–2026)"
GOV,NY,False,dem,Kathy Hochul,3,"Kathy Hochul , governor of New York (2021–present)  "
GOV,NY,False,rep,Bruce Blakeman,1,"Bruce Blakeman , Nassau County executive (2021–present)  "
GOV,OH,False,dem,Amy Acton,0,"Amy Acton , former director of the Ohio Department of Health (2019–2020)   "
GOV,OH,False,rep,Vivek Ramaswamy,0,"Vivek Ramaswamy , founder of Roivant Sciences and candidate for president in 2024  "
GOV,OK,False,dem,Cyndi Munson,1,"Cyndi Munson , minority leader of the Oklahoma House of Representatives (2022–present) from the 85th district (2015–present)"
GOV,OK,False,rep,Mike Mazzei,1,"Mike Mazzei , former Oklahoma Secretary of Budget (2019–2020), former state senator from the 25th district (2004–2016), and candidate for state treasurer in 202"
GOV,OR,False,dem,Tina Kotek,3,"Tina Kotek , incumbent governor (2023–present)"
GOV,OR,False,rep,Christine Drazan,1,"Christine Drazan , state senator (2025–present), former minority leader of the Oregon House of Representatives (2019–2021, 2025) and nominee for governor in 202"
GOV,PA,False,dem,Josh Shapiro,3,"Josh Shapiro , incumbent governor (2023–present)"
GOV,PA,False,rep,Stacy Garrity,2,"Stacy Garrity , Pennsylvania state treasurer (2021–present)"
GOV,RI,False,dem,Helena Foulkes,0,"Helena Foulkes , former CVS executive, niece of former U.S. senator Chris Dodd , and candidate for governor in 2022"
GOV,RI,False,rep,Aaron Guckian,0,"Aaron Guckian, former chair of the Warwick Sewer Authority and nominee for lieutenant governor in 2022"
GOV,SC,False,dem,Jermaine Johnson,1,"Jermaine Johnson , state representative from the 80th district  (2020–present)   "
GOV,SC,False,rep,Alan Wilson,2,"Alan Wilson , attorney general of South Carolina (2011–present)  "
GOV,SD,False,dem,Dan Ahlers,1,"Dan Ahlers , executive director of the South Dakota Democratic Party , former state senator (2008–2010), and nominee for U.S. Senate in 2020  "
GOV,SD,False,rep,Larry Rhoden,3,"Larry Rhoden , incumbent governor (2025–present)  "
GOV,TN,False,dem,Jerri Green,1,"Jerri Green, Memphis city councilor from the 2nd district (2024–present)"
GOV,TN,False,rep,Marsha Blackburn,3,"Marsha Blackburn , U.S. senator (2019–present)"
GOV,TX,False,dem,Gina Hinojosa,1,"Gina Hinojosa , state representative from the 49th district (2017–present)"
GOV,TX,False,rep,Greg Abbott,3,"Greg Abbott , incumbent governor (2015–present)"
GOV,VT,False,dem,Amanda Janoo,0,"Amanda Janoo, economist"
GOV,VT,False,rep,Phil Scott,3,"Phil Scott , incumbent governor (2017–present)"
GOV,WI,False,dem,David Crowley,1,"David Crowley , Milwaukee County Executive (2020–present) (previously withdrew, endorsed Rodriguez)"
GOV,WI,False,rep,Tom Tiffany,2,"Tom Tiffany , U.S. representative for Wisconsin's 7th congressional district (2020–present)"
GOV,WY,False,dem,Kenneth Casner,0,"Kenneth Casner, candidate for governor in 2002 and 2018"
GOV,WY,False,rep,Eric Barlow,1,"Eric Barlow , state senator from the 23rd district (2023–present)"
