measure,median,80% range
National House vote (D-R),D+6.8,D+4.7 to D+9.0
House: Democratic seats,233,222-245
"House: P(Democratic majority, 218+)",97%,
Senate: Democratic caucus seats,51,48-53
"Senate: P(Democratic majority, 51+)",56%,
Senate: P(Osborn wins NE),40%,
Governors: Democratic wins of 36,20,18-23
