set,races,brier,brier_lean_only,correct_calls,inside_80,mae_margin
"HOUSE, no bonus",1494,0.029497868080655958,0.04302692032965386,0.9591700133868809,0.8775100401606426,4.241671423538749
all,1691,0.03171387671052631,0.05131917372478283,0.9562389118864577,0.8775872264931993,4.299855418795277
HOUSE,1494,0.028777528977576967,0.04302692032965386,0.9598393574297188,0.8768406961178046,4.238793686207205
SEN,130,0.043068065615384614,0.09318505430502089,0.9307692307692308,0.8846153846153846,4.751539994811773
GOV,67,0.07515953276119403,0.15499174233510699,0.9253731343283582,0.8805970149253731,4.785038009906249
competitive (5-95%),305,0.1502319286967213,0.21552366788084498,0.7836065573770492,0.8590163934426229,4.3653564881630995
