race_id,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,control_leverage
house-ak-al,-28.502238796649692,-26.602922066690898,-25.371654701785847,-24.36656251524991,-23.50293123807367,-22.77545214564536,-22.068817188411508,-21.401138435118245,-20.72857099457834,-20.107889092844943,-19.478785122278314,-18.823359994374453,-18.184400110916197,-17.448705118774104,-16.705939703182484,-15.908396071593469,-14.903015482162322,-13.604565438452848,-11.7250626888366,
house-al-1,-40.413019261450124,-37.746612832610154,-35.892393404323784,-34.52318183243872,-33.381386075702515,-32.3400774151838,-31.312044099680183,-30.32009368967899,-29.396382687389405,-28.42865703520784,-27.539839818614144,-26.61116394778747,-25.708186636480345,-24.723953459581878,-23.63644085900366,-22.414684609933406,-21.005527591820783,-19.19962306143442,-16.683031556492793,
house-al-2,-11.169428989686969,-9.353159655944044,-8.106429222414105,-7.14695058096842,-6.305723862013778,-5.495375320402169,-4.752884264828646,-4.033109190714655,-3.3419657062017967,-2.658244530982617,-2.0071901524693683,-1.3684216797794622,-0.6721239403349294,0.015348799359942388,0.7927233290629276,1.6215473156821558,2.6121743452050006,3.8998138755282024,5.6831344197072475,0.04855701348653774
house-al-3,-52.27334406260866,-49.934211821453275,-48.40856207939335,-47.1694420649354,-46.11333885961476,-45.18096279817249,-44.26414482842642,-43.412342171370675,-42.617861651757345,-41.82902233361935,-41.05964355084663,-40.28037652782786,-39.48598278143527,-38.61114702073594,-37.67807270062739,-36.60752445011601,-35.336387255417506,-33.81146915653935,-31.69609418371291,
house-al-4,-73.29024750553766,-71.05404664698905,-69.48934706373667,-68.26622518173839,-67.23858009058544,-66.28578690774118,-65.372414575565,-64.5589489564598,-63.73643622662428,-62.98306728995094,-62.20775433469737,-61.414551138234714,-60.57738843617501,-59.74717334967249,-58.822189920112194,-57.76104309462278,-56.52763220286459,-54.93074270964368,-52.72428811598742,
house-al-5,-34.009185328699054,-31.748892394088305,-30.247346590089762,-28.992628958748828,-27.928153168017467,-27.02677246312501,-26.129469712547177,-25.355933930175244,-24.551695579762086,-23.76838751733679,-22.988480028902117,-22.18358275648598,-21.35718851259942,-20.451996550700926,-19.51604927435268,-18.47080233160471,-17.25657812341855,-15.747208850905059,-13.472774933134305,
house-al-6,-37.78527422134711,-35.55283608798872,-34.06018025126545,-32.76465702719046,-31.708500920005324,-30.74565302303212,-29.84621618303756,-29.01404416738563,-28.198676510475483,-27.41012430502375,-26.576810093450977,-25.820544973447056,-25.003123087437775,-24.1916109880708,-23.264092721788476,-22.21657650522681,-20.993710489144075,-19.42217623840547,-17.086868645255745,
house-al-7,17.625524491560018,19.884246354690045,21.368787793490124,22.588871638104134,23.641178587760567,24.603201816440425,25.437876049383036,26.2373676404812,27.03834821181847,27.792880579465525,28.579717883737608,29.42214160637584,30.23910152971568,31.099314942652118,32.04123178436677,33.106883766919395,34.33997344133573,35.83045316377262,38.0580233767057,
house-ar-1,-51.29230181034784,-49.05361144574372,-47.46822476962915,-46.31042135861623,-45.25831499580765,-44.314624939995625,-43.47202469596423,-42.69232181173113,-41.881193659540415,-41.086297637438264,-40.314303119889416,-39.53728528387647,-38.73301932720334,-37.8454610149992,-36.883296247985676,-35.815448044944915,-34.64669021977495,-33.11981356138854,-30.900089709707572,
house-ar-2,-14.567153475653814,-12.643269940274738,-11.378015562058792,-10.409959854952959,-9.563362073651568,-8.749310589751115,-8.019900818952562,-7.344947648695376,-6.645581056375231,-6.026234688787464,-5.384521321216982,-4.685598587079618,-4.001497784072795,-3.238317249139138,-2.478037724615141,-1.6656634826227563,-0.654498042626512,0.5693004202412704,2.3873240991204208,0.04159501048122782
house-ar-3,-31.923060425713278,-29.600856308413814,-28.082562120404898,-26.84191402465007,-25.796994283670465,-24.899627114618752,-24.032424225595584,-23.170969600051436,-22.399259133791332,-21.62396207838683,-20.787326148491537,-19.980151135718454,-19.130318939918478,-18.28675988448491,-17.33333978583708,-16.317502509004008,-15.177848187047529,-13.709942352318539,-11.37120079787646,
house-ar-4,-45.77401208346335,-43.50334823383664,-42.004748513302914,-40.81233815397984,-39.724385359145984,-38.76410500216962,-37.924767940466865,-37.08535973122724,-36.300824929058976,-35.54136000995855,-34.77572391172482,-33.99392307274538,-33.1890796937723,-32.34878597709844,-31.38452285642804,-30.285755006474446,-29.115444134017576,-27.56955624768904,-25.25054672399295,
house-az-1,-5.71529186533551,-2.973688657174385,-1.3022330581969626,0.08306233867455538,1.3202739382159259,2.3776183906473016,3.373875609676372,4.364923550881788,5.257431617904162,6.210510203833874,7.135217696298934,8.045925300303697,8.992135629010098,10.020141818724479,11.071644495980312,12.328621036534344,13.830437511644506,15.602523171716605,18.19469809766505,0.06118549689372044
house-az-2,-13.489526526392202,-11.649843878616448,-10.380056890030273,-9.366019027998256,-8.522087289406592,-7.734521698611235,-7.008687352195994,-6.350072955379476,-5.727741346946835,-5.0766596956393,-4.427873170420663,-3.7517266438699837,-3.0789124278532816,-2.377560024947169,-1.5843680051759135,-0.6962559417422194,0.3271217765622321,1.6244210198556517,3.5644404456818157,0.04206335343670908
house-az-4,6.519813537636972,8.842587558629708,10.373864808849099,11.553134742451793,12.561285705287094,13.486452837366581,14.323949648319468,15.128962787909684,15.929206109304763,16.698444236851746,17.491016308858384,18.291759788538588,19.13202483394776,20.008876594439197,20.949301398635114,22.02626919858945,23.247370868976233,24.76733679730769,27.04008401736749,
house-az-5,-24.97543838500488,-22.261400903687495,-20.452461865183736,-19.018362779333064,-17.866702403132237,-16.806860641052822,-15.85380473238793,-14.930324894557115,-14.028156447626007,-13.090081176455158,-12.167921160058699,-11.24504131024193,-10.34136350997133,-9.30881244858142,-8.14151972201308,-6.94867733571528,-5.56393090446342,-3.824270531206366,-1.2537819853530947,0.03431242116051725
house-az-6,-3.6658298352152188,-1.8232296284713816,-0.5577566041417852,0.452184977665664,1.3563692771035658,2.1341504126007624,2.885833646633663,3.5952648057464534,4.2577280776656625,4.941370428052526,5.622887298859777,6.3113657343397875,7.027560573918877,7.72825769434026,8.525594204707481,9.441115494034594,10.529311079634343,11.884790936471767,13.869882135924202,0.07785407824648072
house-az-7,22.42636007786237,24.738671275095843,26.309038711281083,27.552082035999884,28.585819981515204,29.571241991737658,30.44318537848651,31.235910289861454,32.04555579782235,32.79916689283278,33.61999528363905,34.41984232473738,35.194162678330834,36.062690298145924,37.00194082686715,37.95926511981218,39.138676632442774,40.601457352197194,42.90271280555238,
house-az-8,-20.928569914005205,-18.652668495221263,-17.054447140612087,-15.906409182333558,-14.842524969997973,-13.987372242763277,-13.094164581392011,-12.212657983068926,-11.402535447300265,-10.602063553418159,-9.846563276256312,-9.02834301435853,-8.225612873287643,-7.352622082999116,-6.398214995921112,-5.3907896607974175,-4.165672780776983,-2.694390192967921,-0.3190631712141047,0.041370322866469134
house-az-9,-32.851037913848586,-30.652377720469342,-29.138453256022874,-27.94178447869464,-26.9094161956908,-25.946153326288123,-25.105107781149464,-24.298276549034846,-23.491210115423485,-22.748462353773952,-21.984182669709117,-21.15088152107605,-20.345363430484674,-19.502299714270148,-18.57405958865859,-17.506103484623033,-16.270641027969468,-14.730917482329648,-12.483752477273622,
house-ca-1,8.646058187534186,10.868782376906394,12.289680819915484,13.486968453931977,14.555511334562972,15.528923251589335,16.439296736813205,17.283850600973206,18.040146569303133,18.793560007134715,19.598525156603003,20.396609750056747,21.19043421490714,22.02092154226466,22.972216136444658,24.0705137050609,25.271714910376428,26.75475704769571,29.098478689565653,
house-ca-2,21.664390838676727,23.85289367783009,25.416801407391123,26.65352466139665,27.68997722780637,28.615266098870432,29.445615107080275,30.283236975943243,31.10532248556601,31.878381879538587,32.617791967139915,33.35459603917224,34.19664678976567,35.06085466047126,35.96448869207328,37.01616553952237,38.18231725402875,39.72003961704486,42.05699923401579,
house-ca-3,9.75235030033722,11.962600211940188,13.56973001144561,14.718691279079566,15.782843398985412,16.672522730515578,17.504703746978965,18.33979249549104,19.127709335967605,19.941605357332364,20.73337062098021,21.543351772352253,22.38565053864377,23.261562257825897,24.204995885401356,25.284080454084535,26.478652676912056,28.04134359110625,30.286327995349687,
house-ca-5,-26.215450257171764,-23.846771498507174,-22.226348959814914,-21.093071503834008,-20.08509734715726,-19.14019659480369,-18.31531959697418,-17.468582270710566,-16.638484551647046,-15.834782474754679,-15.05645188374509,-14.241635949808519,-13.432592704973018,-12.551239850730177,-11.665116061965584,-10.585752578653343,-9.358680662447682,-7.85777079040964,-5.642747218892242,
house-ca-6,1.6860931968604538,3.9246574196514343,5.434604645686959,6.578891732231592,7.638942172741989,8.584349257917374,9.389914098571868,10.191975784789774,10.962360158600664,11.714934419193948,12.429574823996367,13.245693662957446,14.052609366855279,14.862215262305819,15.793738993884343,16.823402410713765,17.99447177398948,19.541382685836947,21.83108917381864,0.1327286294347375
house-ca-8,33.990190034708526,36.228451441459015,37.82555737525235,39.04242303655977,40.064418212316994,40.98455044034186,41.86055119867848,42.67526391443372,43.48747295723424,44.25150515203502,45.00756836620305,45.788023777309476,46.62317759816344,47.505902754424866,48.45411994017706,49.48099480991184,50.70259211146601,52.149886950512006,54.493532623369234,
house-ca-9,12.977252348466445,15.32557993000937,16.85888633888515,18.037430026715978,19.077949951675645,20.00645313855665,20.89974053932446,21.718462539467886,22.5482677376427,23.37600864804487,24.118093670755346,24.907919148883856,25.73850892173406,26.625874956301544,27.569065175146616,28.6108236785314,29.92920118744734,31.460672612480302,33.82109106564098,
house-ca-10,31.084475933468962,33.3213711760939,34.875523582891724,36.05814711416956,37.037949948171104,37.953429545780644,38.84797304302069,39.70699203994694,40.521002080182846,41.24843207813238,42.03325634844809,42.837792824441934,43.64773967166841,44.456883940229446,45.423152747907785,46.47127064640729,47.68923796260412,49.29287252265491,51.462887087268676,
house-ca-13,6.743529206664523,8.932581019359862,10.516672472333617,11.807331106760873,12.832984965627677,13.751918355134073,14.651155255272501,15.461486772103624,16.259775797733884,17.046237714932253,17.833908378242498,18.594806560149845,19.455394972442086,20.309695665132857,21.22782038845673,22.263412603451712,23.390259518368516,24.92537914100505,27.20961973632658,
house-ca-15,44.47754852769119,46.777557174171776,48.29690761538037,49.525394884407106,50.5495820420039,51.46472933577923,52.33108571602739,53.078331552186725,53.88766677693463,54.66281847092332,55.45972096195979,56.253493355174,57.0665204917837,57.96712369275613,58.88979432643673,59.96358612353699,61.12333395940489,62.585775078939285,64.92637348794887,
house-ca-16,48.80144151549232,51.195066866561234,52.631907296857946,53.88436402604307,54.905142625815245,55.79088713899204,56.68906722289796,57.46835952006776,58.28214966361691,59.0706211059433,59.83695453637771,60.6531380635071,61.44616168976358,62.33509444970939,63.22381383437732,64.30157470949497,65.4966152462382,67.04381935655071,69.26970781935316,
house-ca-17,35.67693876021744,37.94976974521258,39.40334833893798,40.620493985237324,41.672271858610486,42.55729865600693,43.43599583763065,44.26375337335263,45.0794875203387,45.84669122037087,46.63108629152429,47.43135405863499,48.22072300008313,49.065536823435465,50.005571405972276,50.96236244529206,52.11339097891585,53.645578733382024,55.884361617177284,
house-ca-18,26.555415482682747,28.669571158090385,30.169064458480474,31.33970736508825,32.40191270151088,33.33721859213995,34.24524072384647,35.07051166958226,35.84798345502191,36.62089725718627,37.42231373550909,38.19150170970052,39.01453211965035,39.83618348647627,40.73881232002502,41.75594228465877,42.9902128602226,44.47984633566505,46.67460275832889,
