bin,races,predicted,actual
"(-0.001, 0.1]",736,0.00838743206521739,0.008152173913043478
"(0.1, 0.3]",73,0.1909541095890411,0.1506849315068493
"(0.3, 0.5]",43,0.40292906976744186,0.4186046511627907
"(0.5, 0.7]",42,0.5914476190476191,0.7380952380952381
"(0.7, 0.9]",91,0.8082499999999999,0.8571428571428571
"(0.9, 1.0]",706,0.9915870396600566,0.9886685552407932
