variant,brier_all,brier_competitive,called_all,called_competitive,competitive_races,margin_mae_house,national_env_mae
full,0.03266823856593731,0.13133075702662722,0.9568302779420461,0.8165680473372781,338,4.636441620186995,1.1713701433321724
uniform swing (a=0),0.032652730410999406,0.1308810080235988,0.9568302779420461,0.8171091445427728,339,4.683804724878868,1.1713701433321724
all turnout (a=1),0.03263701025280898,0.13080002781710914,0.9568302779420461,0.8171091445427728,339,4.6251456757935046,1.1713701433321724
no special-elections reading,0.032731056609994084,0.12930647135901163,0.9568302779420461,0.8197674418604651,344,4.664805988120042,1.6220440537276248
