year,office,state_po,district,special,asof,outlet,p_dem,rating,rating_them,actual
2018,HOUSE,CA,48,False,sep22,FiveThirtyEight (model),0.382,Lean R,Lean D,7.103984582813093
2018,HOUSE,CA,49,False,sep22,FiveThirtyEight (model),0.99165,Safe D,Likely D,12.83801647290106
2018,HOUSE,CA,50,False,sep22,FiveThirtyEight (model),0.00725,Safe R,Likely R,-3.43096878488126
2018,HOUSE,CA,51,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,42.4019034246041
2018,HOUSE,CA,52,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,27.694277500194254
2018,HOUSE,CA,53,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,38.148172950289066
2018,HOUSE,CO,1,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,52.4106866093445
2018,HOUSE,CO,2,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,28.35709465055165
2018,HOUSE,CO,3,False,sep22,FiveThirtyEight (model),0.10955,Likely R,Toss-up,-8.378098494826848
2018,HOUSE,CO,4,False,sep22,FiveThirtyEight (model),0.00015,Safe R,Safe R,-21.238588459394663
2018,HOUSE,CO,5,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-18.386359980698085
2018,HOUSE,CO,6,False,sep22,FiveThirtyEight (model),0.9379,Likely D,Likely D,11.582283750193266
2018,HOUSE,CO,7,False,sep22,FiveThirtyEight (model),0.99995,Safe D,Safe D,26.088754730025865
2018,HOUSE,CT,1,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,29.16259391909587
2018,HOUSE,CT,2,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,27.372136038609
2018,HOUSE,CT,3,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,29.19822823500679
2018,HOUSE,CT,4,False,sep22,FiveThirtyEight (model),0.99995,Safe D,Safe D,22.421793090438133
2018,HOUSE,CT,5,False,sep22,FiveThirtyEight (model),0.9524,Safe D,Safe D,11.749079072310836
2018,HOUSE,DE,0,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,28.907939909904545
2018,HOUSE,FL,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-34.117274836532374
2018,HOUSE,FL,2,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-34.88266659448925
2018,HOUSE,FL,3,False,sep22,FiveThirtyEight (model),0.0428,Safe R,Safe R,-15.248486114011277
2018,HOUSE,FL,4,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-33.64140828628376
2018,HOUSE,FL,5,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,33.562439424990565
2018,HOUSE,FL,6,False,sep22,FiveThirtyEight (model),0.0463,Safe R,Lean R,-12.627941339551445
2018,HOUSE,FL,7,False,sep22,FiveThirtyEight (model),0.99785,Safe D,Likely D,15.383839847762117
2018,HOUSE,FL,8,False,sep22,FiveThirtyEight (model),0.00035,Safe R,Safe R,-20.99620832836376
2018,HOUSE,FL,9,False,sep22,FiveThirtyEight (model),0.99995,Safe D,Safe D,16.04349979948574
2018,HOUSE,FL,11,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-30.301430406479284
2018,HOUSE,FL,12,False,sep22,FiveThirtyEight (model),0.0001,Safe R,Safe R,-18.85109710208669
2018,HOUSE,FL,13,False,sep22,FiveThirtyEight (model),0.9966,Safe D,Safe D,15.289411334159908
2018,HOUSE,FL,15,False,sep22,FiveThirtyEight (model),0.24045,Lean R,Lean R,-6.041077082574462
2018,HOUSE,FL,16,False,sep22,FiveThirtyEight (model),0.0779,Likely R,Likely R,-9.12290783708067
2018,HOUSE,FL,17,False,sep22,FiveThirtyEight (model),0.0008,Safe R,Safe R,-24.517583408476103
2018,HOUSE,FL,18,False,sep22,FiveThirtyEight (model),0.0737,Likely R,Likely R,-8.602373531877356
2018,HOUSE,FL,19,False,sep22,FiveThirtyEight (model),5e-05,Safe R,Likely R,-24.5483271539678
