year,state_po,district,dem,rep,winner,winner_side,cand_keys,house_margin,contested,d24,r24,inc_side,race_type,race_note,actual,office,special,dem_key,rep_key,lean,expected,resid,prior_edge,pres24,quality_diff,first_term,poll_avg,poll_n_eff,poll_count,p_dem,margin_median,margin_p10,margin_p90,fundamentals_mean,poll_weight,env_miss,close_bonus_used,lean_only
2018,AK,0,131199.0,149779.0,DON YOUNG,R,"['GALVIN A', 'YOUNG D', 'WRITEIN']",-6.612617357942614,True,37.6,52.8,-1.0,standard,D,-6.612617357942614,HOUSE,False,,,-19.13917212720357,,,-3.2657016543127995,-16.81415929203539,0.0,0,,0.0,0,0.04885,-10.42486645860863,-18.531465074396557,-2.369817944564633,-10.475733908887165,0.0,1.270522083379289,2.5037386347724273,-11.685427227053887
2018,AL,1,89226.0,153228.0,BRADLEY BYRNE,R,"['BYRNE B', 'KENNEDY R', 'WRITEIN']",-26.397584696478507,True,34.1,63.5,-1.0,standard,D,-26.397584696478507,HOUSE,False,,,-32.447963654840315,,,,-30.122950819672134,0.0,0,,0.0,0,0.0,-27.496893500778707,-35.73271744192227,-19.408773515806693,-27.55760816532393,0.0,1.270522083379289,2.5037386347724273,-24.99421875469063
2018,AL,2,86931.0,138879.0,MARTHA ROBY,R,"['ROBY M', 'ISNER T', 'WRITEIN']",-23.00518134715026,True,33.0,64.9,-1.0,standard,D,-23.00518134715026,HOUSE,False,,,-34.90928249808953,,,-26.36595473494086,-32.58426966292135,0.0,0,,0.0,0,0.0106,-13.992383577005459,-22.067749957265832,-5.957822216505737,-14.051184461706033,0.0,1.270522083379289,2.5037386347724273,-27.455537597939845
2018,AL,3,83996.0,147770.0,MIKE ROGERS,R,"['HAGAN M', 'ROGERS M', 'WRITEIN']",-27.516546861921075,True,32.3,65.3,-1.0,standard,D,-27.516546861921075,HOUSE,False,,,-36.13648824500425,,,-2.777408034423221,-33.81147540983607,0.0,0,,0.0,0,5e-05,-27.974658599966425,-36.011179043532124,-19.896783507968234,-28.059909486245342,0.0,1.270522083379289,2.5037386347724273,-28.682743344854565
2018,AL,4,46492.0,184255.0,ROBERT ADERHOLT,R,"['AUMAN L', 'ADERHOLT R', 'WRITEIN']",-59.70305139395095,True,17.4,80.4,-1.0,standard,D,-59.70305139395095,HOUSE,False,,,-66.7421907492786,,,,-64.41717791411043,0.0,0,,0.0,0,0.0,-62.88823555041276,-70.84171544864114,-54.99283755943774,-62.908930423323156,0.0,1.270522083379289,2.5037386347724273,-59.28844584912892
2018,AL,5,101388.0,159063.0,MO BROOKS,R,"['BROOKS M', 'JOFFRION P', 'WRITEIN']",-22.144280498059135,True,31.3,64.7,-1.0,standard,D,-22.144280498059135,HOUSE,False,,,-37.11667950183485,,,-4.215213879937902,-34.79166666666667,0.0,0,,0.0,0,0.0,-28.1647536809481,-36.38289397220224,-20.13767113547062,-28.283639726431446,0.0,1.270522083379289,2.5037386347724273,-29.662934601685166
2018,AL,6,85644.0,192542.0,GARY PALMER,R,"['KLINE D', 'PALMER G', 'WRITEIN']",-38.42680796301755,True,26.1,70.8,-1.0,standard,D,-38.42680796301755,HOUSE,False,,,-48.4550437949205,,,-0.0257324929245363,-46.13003095975232,0.0,0,,0.0,0,0.0,-42.14102748271177,-50.387484059716655,-34.108319174043835,-42.180907945019825,0.0,1.270522083379289,2.5037386347724273,-41.00129889477081
2018,AR,1,57907.0,138757.0,RICK CRAWFORD,R,"['DESAI C', 'PRESLEY E', 'CRAWFORD R']",-41.110726925110846,True,30.2,65.0,0.0,standard,D,-41.110726925110846,HOUSE,False,,,-38.87963468390767,,,,-36.55462184873949,0.0,0,,0.0,0,0.0,-31.843963316026787,-41.235383426702676,-22.51898895490933,-31.823216375599934,0.0,1.270522083379289,2.5037386347724273,-31.42588978375798
2018,AR,2,116135.0,132125.0,FRENCH HILL,R,"['TUCKER C', 'HILL F', 'SWAFFORD J']",-6.44082816402159,True,41.7,52.4,0.0,standard,D,-6.44082816402159,HOUSE,False,,,-13.695894875550747,,,,-11.370882040382568,0.0,0,-13.186813186813186,0.38708796803306444,1,0.0909,-8.103247548896958,-16.086867922371532,-0.30811075408282007,-5.8958213544474125,0.31673890910932834,1.270522083379289,2.5037386347724273,-6.242149975401064
2018,AR,3,74952.0,148717.0,STEVE WOMACK,R,"['MAHONY J', 'KALAGIAS M', 'WOMACK S', 'WRITEIN']",-32.97953672614444,True,30.5,61.9,-1.0,standard,D,-32.97953672614444,HOUSE,False,,,-36.30769681785216,,,,-33.98268398268398,0.0,0,,0.0,0,0.0,-31.385305643785884,-39.490872945383344,-23.361064834095554,-31.494242216661736,0.0,1.270522083379289,2.5037386347724273,-28.853951917702474
2018,AR,4,63984.0,136740.0,BRUCE WESTERMAN,R,"['WESTERMAN B', 'SHAMEL H', 'CANADA T', 'WRITEIN']",-36.246786632390744,True,31.3,64.2,-1.0,standard,D,-36.246786632390744,HOUSE,False,,,-36.7752746152729,,,,-34.45026178010472,0.0,0,,0.0,0,0.0,-31.88669331676803,-40.04080683062237,-23.805340383121433,-31.97184208468148,0.0,1.270522083379289,2.5037386347724273,-29.321529715123212
2018,AZ,1,143240.0,122784.0,TOM O'HALLERAN,D,"['HALLERAN T', 'ROGERS W', 'WRITEIN']",7.689531771569483,True,46.6,47.7,1.0,standard,D,7.689531771569483,HOUSE,False,,,-3.491502760937003,,,11.935024629525705,-1.1664899257688244,0.0,1,2.1468861226003013,1.2807824534710384,4,0.98115,10.746724724016977,4.158777231081238,17.269458510905316,16.42509632107286,0.4031733943985335,1.270522083379289,2.5037386347724273,3.9622421392126794
2018,AZ,2,161000.0,133083.0,ANN KIRKPATRICK,D,"['KIRKPATRICK A', 'PETERSON L', 'WRITEIN']",9.49289826341543,True,49.6,44.7,0.0,standard,D,9.49289826341543,HOUSE,False,,,2.871169561438394,,,,5.196182396606573,0.0,0,12.126616139099415,0.13937818878515354,1,0.9675,12.5225336459049,3.8325380131139863,21.113658264409445,12.5945951817405,0.1700258801406247,1.270522083379289,2.5037386347724273,10.324914461588076
2018,AZ,3,114650.0,64868.0,RAUL GRIJALVA,D,"['PIERSON N', 'GRIJALVA R']",27.730923918492852,True,62.4,32.5,1.0,standard,D,27.730923918492852,HOUSE,False,,,29.181836479900316,,,,31.506849315068493,0.0,0,,0.0,0,1.0,38.662061018131396,30.50854326792729,46.691269383898565,38.533666170900105,0.0,1.270522083379289,2.5037386347724273,36.63558138005
2018,AZ,4,84521.0,188842.0,PAUL GOSAR,R,"['BRILL D', 'KNAUER H', 'GOSAR P']",-38.16207753060948,True,27.5,67.7,-1.0,standard,D,-38.16207753060948,HOUSE,False,,,-44.551903591470705,,,-2.3323603412026266,-42.226890756302524,0.0,0,-39.02439024390244,0.10314243792709454,1,0.0,-37.182483447706886,-44.897794807710234,-29.408658348845158,-36.91905141403708,0.10330686535995152,1.270522083379289,2.5037386347724273,-37.09815869132102
2018,AZ,5,127027.0,186037.0,ANDY BIGGS,R,"['BIGGS A', 'GREENE J']",-18.849180998134567,True,36.5,57.6,-1.0,standard,D,-18.849180998134567,HOUSE,False,,,-24.747967139100165,,,2.7551979567450005,-22.422954303931988,0.0,1,,0.0,0,0.0001,-22.673655061819208,-30.836541693449615,-14.540756654595974,-22.727103762847207,0.0,1.270522083379289,2.5037386347724273,-17.294222238950482
2018,AZ,6,140559.0,173140.0,DAVID SCHWEIKERT,R,"['MALIK A', 'SCHWEIKERT D']",-10.386070723846744,True,42.4,52.4,-1.0,standard,D,-10.386070723846744,HOUSE,False,,,-12.873536041919234,,,10.699883984225584,-10.548523206751055,0.0,0,-16.303968346328404,0.29232105566333905,1,0.01465,-12.408407747878389,-19.660677110790708,-5.070836184469013,-11.304050670047296,0.21680031733616606,1.270522083379289,2.5037386347724273,-5.419791141769551
2018,AZ,8,135569.0,168835.0,DEBBIE LESKO,R,"['LESKO D', 'TIPIRNENI H', 'HUMMEL S']",-10.92824010196975,True,37.0,58.1,0.0,standard,D,-10.92824010196975,HOUSE,False,,,-24.512184233696043,,,,-22.187171398527866,0.0,0,-9.747826086956524,0.053621200177966497,1,0.0093,-16.499345129715614,-25.64008724641066,-7.5078198256801905,-17.190465335282774,0.07880244023446847,1.270522083379289,2.5037386347724273,-17.05843933354636
2018,AZ,9,159583.0,101662.0,GREG STANTON,D,"['STANTON G', 'FERRARA S']",22.171142031426438,True,54.7,38.4,0.0,standard,D,22.171142031426438,HOUSE,False,,,15.183043018752342,,,,17.50805585392052,0.0,0,,0.0,0,0.99945,22.832810755212815,13.484200988915767,32.20093292226837,22.734439086067084,0.0,1.270522083379289,2.5037386347724273,22.636787918902023
2018,CA,1,131548.0,160046.0,DOUG LA MALFA,R,"['DENNEY A', 'MALFA D']",-9.77317777457698,True,36.5,56.2,0.0,standard,D,-9.77317777457698,HOUSE,False,,,-23.576361270982634,,,,-21.251348435814457,0.0,0,,0.0,0,0.0138,-16.143255299312145,-25.55930338467034,-6.947435157797754,-16.23925015582338,0.0,1.270522083379289,2.5037386347724273,-16.12261637083295
2018,CA,2,243081.0,72576.0,JARED HUFFMAN,D,"['MENSING D', 'HUFFMAN J']",54.015909674108286,True,69.0,23.3,1.0,standard,D,54.015909674108286,HOUSE,False,,,47.187446536446124,,,7.199913548462998,49.512459371614305,0.0,0,,0.0,0,1.0,58.21580849798006,50.17726870771717,66.15447843693633,58.17232677567355,0.0,1.270522083379289,2.5037386347724273,54.64119143659581
2018,CA,3,134875.0,97376.0,JOHN GARAMENDI,D,"['SCHAUPP C', 'GARAMENDI J']",16.145893882050025,True,53.0,40.4,1.0,standard,D,16.145893882050025,HOUSE,False,,,11.165351190527755,,,8.224673376042604,13.490364025695934,0.0,0,,0.0,0,0.99995,24.262609258814358,16.027258733867928,32.24136426582368,24.22564712951193,0.0,1.270522083379289,2.5037386347724273,18.619096090677438
2018,CA,4,156253.0,184401.0,TOM MCCLINTOCK,R,"['MORSE J', 'MCCLINTOCK T']",-8.26292954141152,True,39.3,54.0,-1.0,standard,D,-8.26292954141152,HOUSE,False,,,-18.080639844814485,,,6.671970156199537,-15.755627009646306,0.0,0,-9.65531914893617,0.2091650066335189,1,0.0091,-13.782663947583785,-21.270602099024448,-6.320142088048782,-14.750724383750528,0.17510321278173097,1.270522083379289,2.5037386347724273,-10.626894944664802
2018,CA,7,155016.0,126601.0,AMI BERA,D,"['BERA A', 'GRANT A']",10.089944854181388,True,52.3,40.9,1.0,standard,D,10.089944854181388,HOUSE,False,,,9.90674682148418,,,-6.876842119283971,12.23175965665236,0.0,0,,0.0,0,0.99105,15.107284578398946,6.901713460157628,23.2234273546575,15.0322280429325,0.0,1.270522083379289,2.5037386347724273,17.360491721633863
2018,CA,9,113414.0,87349.0,JERRY MCNERNEY,D,"['MCNERNEY J', 'LIVENGOOD M']",12.982969969566104,True,56.6,38.0,1.0,standard,D,12.982969969566104,HOUSE,False,,,17.336720780053813,,,-1.9305141620061812,19.66173361522199,0.0,0,,0.0,0,0.99965,24.364329747915768,16.1732735261854,32.31130553494932,24.23045934273953,0.0,1.270522083379289,2.5037386347724273,24.790465680203496
2018,CA,10,115945.0,105955.0,JOSH HARDER,D,"['DENHAM J', 'HARDER J']",4.502027940513745,True,48.5,45.5,-1.0,standard,D,4.502027940513745,HOUSE,False,,,0.8664765265339489,,,3.580230191272377,3.1914893617021276,0.0,1,3.0739995764475863,0.5928780690160147,2,0.7948,4.462085528179198,-2.5129177645979737,11.336624775588804,5.035582011858556,0.31133663252939153,1.270522083379289,2.5037386347724273,8.32022142668363
2018,CA,11,204369.0,71312.0,MARK DESAULNIER,D,"['FITZGERALD J', 'DESAULNIER M']",48.26484233588822,True,71.5,22.7,1.0,standard,D,48.26484233588822,HOUSE,False,,,49.479658077782986,,,-4.686852896867901,51.80467091295117,0.0,0,,0.0,0,1.0,53.99114770872532,45.96187730709851,62.04757612755012,53.95822962816275,0.0,1.270522083379289,2.5037386347724273,56.93340297793267
2018,CA,12,275292.0,41780.0,NANCY PELOSI,D,"['REMMER L', 'PELOSI N']",73.64636423272947,True,86.2,8.7,1.0,standard,D,73.64636423272947,HOUSE,False,,,79.33989759686554,,,,81.66491043203372,0.0,0,,0.0,0,1.0,86.84766541761527,78.82998059527243,94.7893199296953,86.80487170561346,0.0,1.270522083379289,2.5037386347724273,86.79364249701523
2018,CA,14,211384.0,55439.0,JACKIE SPEIER,D,"['OSMENA C', 'SPEIER J']",58.44511155335185,True,76.9,18.2,1.0,standard,D,58.44511155335185,HOUSE,False,,,59.39948769059417,,,3.0139264862589776,61.72450052576235,0.0,0,,0.0,0,1.0,67.76800525474991,59.76703138040405,75.84961175737938,67.66729004363981,0.0,1.270522083379289,2.5037386347724273,66.85323259074386
2018,CA,15,177989.0,65940.0,ERIC SWALWELL,D,"['SWALWELL E', 'PETERS R']",45.93508766895285,True,69.9,24.2,1.0,standard,D,45.93508766895285,HOUSE,False,,,46.240343169082614,,,1.980408625448536,48.565356004250795,0.0,0,,0.0,0,1.0,54.41754010080683,46.44205029140229,62.58429653248669,54.43404315090531,0.0,1.270522083379289,2.5037386347724273,53.6940880692323
2018,CA,16,82266.0,60693.0,JIM COSTA,D,"['HENG E', 'COSTA J']",15.090340587161354,True,58.0,36.4,1.0,standard,D,15.090340587161354,HOUSE,False,,,20.55634309703521,,,-3.799497026823314,22.881355932203387,0.0,0,12.087912087912088,0.0779329044267868,1,1.0,25.106488053380126,17.329411928892952,33.06449513991402,26.301051083227858,0.08188148267239913,1.270522083379289,2.5037386347724273,28.01008799718489
2018,CA,17,159105.0,52057.0,RO KHANNA,D,"['KHANNA R', 'COHEN R']",50.6947272710052,True,73.9,20.5,1.0,standard,D,50.6947272710052,HOUSE,False,,,54.242783775001314,,,,56.567796610169495,0.0,0,,0.0,0,1.0,62.86736737126931,54.78248369774415,70.77328463430028,62.84067181643072,0.0,1.270522083379289,2.5037386347724273,61.696528675151
2018,CA,18,225142.0,77096.0,ANNA G ESHOO,D,"['ESHOO A', 'RUSSELL C']",48.983251609658616,True,73.4,20.2,1.0,standard,D,48.983251609658616,HOUSE,False,,,54.512594002438654,,,-11.535431923579136,56.837606837606835,0.0,0,,0.0,0,1.0,55.148679044973164,47.074073217530724,63.10785135770271,55.1046750008479,0.0,1.270522083379289,2.5037386347724273,61.96633890258834
2018,CA,19,162496.0,57823.0,ZOE LOFGREN,D,"['AGUILERA J', 'LOFGREN Z']",47.50974723015264,True,72.9,21.5,1.0,standard,D,47.50974723015264,HOUSE,False,,,52.124139707204705,,,-3.5481136174940997,54.449152542372886,0.0,0,,0.0,0,1.0,57.22878180732192,49.01310814453574,65.17125476151382,57.124289164652836,0.0,1.270522083379289,2.5037386347724273,59.57788460735439
