outlet,races,ours_called,theirs_called,ours_tossups,theirs_tossups,ours_brier,theirs_brier,both_picked,ours_right_both,theirs_right_both,disagreed,ours_won_disagreements,their_tossups_we_picked,ours_right_on_their_tossups,asof,subset,years,offices
FiveThirtyEight (model),339,0.8171091445427728,0.8200589970501475,32,58,0.12681227171828907,0.1258142143141593,263,0.8783269961977186,0.9011406844106464,14,4,44,0.6818181818181818,eve,competitive,"2018,2020,2022","GOV,HOUSE,SEN"
CNN,33,0.9242424242424242,0.8787878787878788,3,6,0.05639146227272727,,26,1.0,0.9615384615384616,1,1,4,0.75,eve,all,2018,SEN
CNN,17,0.8529411764705882,0.8235294117647058,3,6,0.10942977647058823,,10,1.0,1.0,0,0,4,0.75,eve,competitive,2018,SEN
CNalysis,361,0.9667590027700831,0.9598337950138505,10,5,0.021764197416897505,,346,0.9826589595375722,0.976878612716763,12,7,5,0.8,eve,all,2024,"HOUSE,SEN"
CNalysis,90,0.8666666666666667,0.8388888888888889,10,5,0.08701312294444444,,75,0.92,0.8933333333333333,12,7,5,0.8,eve,competitive,2024,"HOUSE,SEN"
Cook Political Report,1430,0.9468531468531468,0.9363636363636364,42,150,0.036868900968531466,,1270,0.988976377952756,0.988976377952756,10,5,118,0.652542372881356,eve,all,"2018,2020,2022,2024","GOV,HOUSE,SEN"
Cook Political Report,454,0.8325991189427313,0.801762114537445,42,150,0.11601596088656387,,294,0.9523809523809523,0.95578231292517,9,4,118,0.652542372881356,eve,competitive,"2018,2020,2022,2024","GOV,HOUSE,SEN"
DDHQ,600,0.955,0.9458333333333333,22,35,0.028989517525000005,,554,0.98014440433213,0.9819494584837545,3,1,24,0.7916666666666666,eve,all,"2020,2022,2024","HOUSE,SEN"
DDHQ,157,0.8280254777070064,0.7929936305732485,22,35,0.11063402141719746,,111,0.9009009009009009,0.9099099099099099,3,1,24,0.7916666666666666,eve,competitive,"2020,2022,2024","HOUSE,SEN"
Daily Kos,603,0.9311774461028193,0.9203980099502488,15,70,0.05141577652985075,,527,0.9772296015180265,0.9791271347248577,5,2,61,0.639344262295082,eve,all,"2018,2020","GOV,HOUSE,SEN"
Daily Kos,230,0.8195652173913044,0.7956521739130434,15,70,0.1346641226521739,,154,0.922077922077922,0.935064935064935,4,1,61,0.639344262295082,eve,competitive,"2018,2020","GOV,HOUSE,SEN"
Elections Daily,361,0.9667590027700831,0.9542936288088643,10,11,0.021764197416897505,,343,0.9854227405247813,0.9766763848396501,7,5,8,0.75,eve,all,2024,"HOUSE,SEN"
Elections Daily,90,0.8666666666666667,0.8166666666666667,10,11,0.08702566061111111,,72,0.9305555555555556,0.8888888888888888,7,5,8,0.75,eve,competitive,2024,"HOUSE,SEN"
Fox News,566,0.9408127208480566,0.9381625441696113,27,52,0.03828684234098939,,503,0.9821073558648111,0.9860834990059643,8,3,36,0.6944444444444444,eve,all,"2018,2022,2024","GOV,HOUSE,SEN"
Fox News,213,0.8427230046948356,0.8356807511737089,27,52,0.10167248970657276,,150,0.94,0.9533333333333334,8,3,36,0.6944444444444444,eve,competitive,"2018,2022,2024","GOV,HOUSE,SEN"
Inside Elections,1430,0.9468531468531468,0.9440559440559441,42,78,0.036868900968531466,,1330,0.975187969924812,0.975187969924812,28,14,58,0.6206896551724138,eve,all,"2018,2020,2022,2024","GOV,HOUSE,SEN"
Inside Elections,409,0.8190709046454768,0.8117359413202934,42,78,0.12387038250611247,,309,0.8996763754045307,0.9029126213592233,27,13,58,0.6206896551724138,eve,competitive,"2018,2020,2022,2024","GOV,HOUSE,SEN"
