year,state_po,district,dem,rep,winner,winner_side,cand_keys,house_margin,contested,d24,r24,inc_side,race_type,race_note,actual,office,special,dem_key,rep_key,lean,expected,resid,prior_edge,pres24,quality_diff,first_term,money_log_ratio,poll_avg,poll_n_eff,poll_count,p_dem,margin_median,margin_p10,margin_p90,fundamentals_mean,money_adj,quality_adj,poll_weight,env_miss,close_bonus_used,lean_only
2018,AK,0,131199.0,149779.0,DON YOUNG,R,"['GALVIN A', 'YOUNG D', 'WRITEIN']",-6.612617357942614,True,37.6,52.8,-1.0,standard,D,-6.612617357942614,HOUSE,False,,,-19.13917212720357,,,-3.2657016543127995,-16.81415929203539,0.0,0,-0.618810983651181,,0.0,0,0.03735,-10.919186676929066,-18.9245907929858,-3.0285050946352348,-10.99384115923263,-0.5214435009543572,0.0,0.0,1.2978690988669932,1.6694841418952986,-11.712774242541592
2018,AL,1,89226.0,153228.0,BRADLEY BYRNE,R,"['BYRNE B', 'KENNEDY R', 'WRITEIN']",-26.397584696478507,True,34.1,63.5,-1.0,standard,D,-26.397584696478507,HOUSE,False,,,-32.447963654840315,,,,-30.122950819672134,-2.0,0,-2.270579086133019,,0.0,0,0.0,-27.498869206948925,-35.60467227823882,-19.569261849703686,-27.556072195691346,-0.021181439361823106,-0.0,0.0,1.2978690988669932,1.6694841418952986,-25.021565770178334
2018,AL,2,86931.0,138879.0,MARTHA ROBY,R,"['ROBY M', 'ISNER T', 'WRITEIN']",-23.00518134715026,True,33.0,64.9,-1.0,standard,D,-23.00518134715026,HOUSE,False,,,-34.90928249808953,,,-26.36595473494086,-32.58426966292135,-2.0,0,-2.151052356760563,,0.0,0,0.0066,-14.942482403523758,-22.9381680432008,-7.055037236759859,-15.018553520098692,-0.9896868968927315,-0.0,0.0,1.2978690988669932,1.6694841418952986,-27.48288461342755
2018,AL,3,83996.0,147770.0,MIKE ROGERS,R,"['HAGAN M', 'ROGERS M', 'WRITEIN']",-27.516546861921075,True,32.3,65.3,-1.0,standard,D,-27.516546861921075,HOUSE,False,,,-36.13648824500425,,,-2.777408034423221,-33.81147540983607,-2.0,0,-2.0383990127864644,,0.0,0,5e-05,-27.96995174109947,-35.899691854393126,-20.023401486728496,-28.05346329427462,-0.015660955647480088,-0.0,0.0,1.2978690988669932,1.6694841418952986,-28.71009036034227
2018,AL,4,46492.0,184255.0,ROBERT ADERHOLT,R,"['AUMAN L', 'ADERHOLT R', 'WRITEIN']",-59.70305139395095,True,17.4,80.4,-1.0,standard,D,-59.70305139395095,HOUSE,False,,,-66.7421907492786,,,,-64.41717791411043,0.0,0,-3.812244247471231,,0.0,0,0.0,-62.88022890282302,-70.7469474046359,-55.08402834035117,-62.89287958030926,-6.367392822955288e-12,0.0,0.0,1.2978690988669932,1.6694841418952986,-59.315792864616625
2018,AL,5,101388.0,159063.0,MO BROOKS,R,"['BROOKS M', 'JOFFRION P', 'WRITEIN']",-22.144280498059135,True,31.3,64.7,-1.0,standard,D,-22.144280498059135,HOUSE,False,,,-37.11667950183485,,,-4.215213879937902,-34.79166666666667,-2.0,0,-1.982229852826556,,0.0,0,0.0,-28.178459583603967,-36.26320182665117,-20.25520254536751,-28.275657125726866,-0.013952933497292971,-0.0,0.0,1.2978690988669932,1.6694841418952986,-29.69028161717287
2018,AL,6,85644.0,192542.0,GARY PALMER,R,"['KLINE D', 'PALMER G', 'WRITEIN']",-38.42680796301755,True,26.1,70.8,-1.0,standard,D,-38.42680796301755,HOUSE,False,,,-48.4550437949205,,,-0.0257324929245363,-46.13003095975232,-2.0,0,-2.0504562313457035,,0.0,0,0.0,-42.1050220033686,-50.26101285140722,-34.20587814431953,-42.161111877277094,-1.611621873571121e-05,-0.0,0.0,1.2978690988669932,1.6694841418952986,-41.02864591025852
2018,AR,1,57907.0,138757.0,RICK CRAWFORD,R,"['DESAI C', 'PRESLEY E', 'CRAWFORD R']",-41.110726925110846,True,30.2,65.0,0.0,standard,D,-41.110726925110846,HOUSE,False,,,-38.87963468390767,,,,-36.55462184873949,-2.0,0,-2.619763071281394,,0.0,0,0.0,-31.845823898445737,-41.14100767796243,-22.583451938977106,-31.805807820900426,-0.00421243356564984,-0.0,0.0,1.2978690988669932,1.6694841418952986,-31.453236799245687
2018,AR,2,116135.0,132125.0,FRENCH HILL,R,"['TUCKER C', 'HILL F', 'SWAFFORD J']",-6.44082816402159,True,41.7,52.4,0.0,standard,D,-6.44082816402159,HOUSE,False,,,-13.695894875550747,,,,-11.370882040382568,-1.0,0,-0.9954716625844268,,0.0,0,0.1536,-7.275495274522045,-16.654098945592896,1.8229588797934744,-7.397607008807285,-1.3993575616124647,-0.0,0.0,1.2978690988669932,1.6694841418952986,-6.2694969908887686
2018,AR,3,74952.0,148717.0,STEVE WOMACK,R,"['MAHONY J', 'KALAGIAS M', 'WOMACK S', 'WRITEIN']",-32.97953672614444,True,30.5,61.9,-1.0,standard,D,-32.97953672614444,HOUSE,False,,,-36.30769681785216,,,,-33.98268398268398,-2.0,0,-2.474746970027024,,0.0,0,0.0,-31.360543366230658,-39.374249190278135,-23.478292207930863,-31.476763889987335,-0.004599037036859174,-0.0,0.0,1.2978690988669932,1.6694841418952986,-28.88129893319018
