bin,races,predicted,actual
"(-0.001, 0.1]",747,0.00821392235609103,0.008032128514056224
"(0.1, 0.3]",69,0.18865507246376811,0.17391304347826086
"(0.3, 0.5]",49,0.396034693877551,0.5918367346938775
"(0.5, 0.7]",51,0.6074176470588235,0.7647058823529411
"(0.7, 0.9]",80,0.8088675000000001,0.8875
"(0.9, 1.0]",695,0.990834892086331,0.9856115107913669
