forecast_date,nat_median,nat_p10,nat_p90,house_median,house_p10,house_p90,p_house_d,senate_median,senate_p10,senate_p90,p_senate_d,p_osborn,gov_median,gov_p10,gov_p90,run_at,race_polls,generic_polls_30d,read_fundamentals,weight_fundamentals,read_generic,weight_generic,read_specials,weight_specials
2026-09-22,6.825828445718113,4.653610418116289,8.958659043559356,233.0,222.0,245.0,0.969,51.0,48.0,53.0,0.55895,0.40275,20.0,18.0,23.0,2026-09-24 13:50,874,58,6.296428974014192,0.0778202414512634,5.641004912500119,0.488904595375061,8.432388878608489,0.4332751333713531
2026-09-24,6.9563091208753285,4.850159163624971,9.070539780741717,233.0,222.0,246.0,0.9717,51.0,48.0,53.0,0.585,0.40995,20.0,18.0,23.0,2026-09-24 16:50,877,52,6.428874869539824,0.0740775167942047,5.986162341804791,0.5135341882705688,8.432388878608489,0.4123882353305816
2026-09-25,6.8935177740611895,4.829717668722249,9.034881175997205,230.0,221.0,241.0,0.96335,51.0,49.0,54.0,0.6714,0.4335,21.0,18.0,23.0,2026-09-25 18:56,914,53,6.570648496546447,0.0755962803959846,5.8433739809436895,0.5087757706642151,8.432388878608489,0.4156279265880584
2026-09-26,6.934494307464007,4.74236410491617,9.100435669975637,230.0,221.0,242.0,0.9594,51.0,49.0,54.0,0.674,0.4342,21.0,18.0,23.0,2026-09-26 07:09,917,53,6.570925381695128,0.0821782872080802,5.75805055401136,0.4707423150539398,8.432388878608489,0.4470794200897217
