set,races,brier,brier_lean_only,correct_calls,inside_80,mae_margin
"HOUSE, no bonus",1494,0.030083388607764387,0.041105940516001166,0.9618473895582329,0.8728246318607764,4.21774943114489
all,1691,0.0318355197264932,0.049000181930490556,0.9603784742755765,0.8704908338261383,4.338803034966315
HOUSE,1494,0.02800661361947791,0.041105940516001166,0.9672021419009371,0.8728246318607764,4.2047143427310925
SEN,130,0.05451257957692307,0.08752058998280736,0.9230769230769231,0.8692307692307693,5.43209993329942
GOV,67,0.07321414574626865,0.15028889277296792,0.8805970149253731,0.8208955223880597,5.20745839938598
competitive (5-95%),339,0.13316525382743363,0.19575182742652117,0.8289085545722714,0.8820058997050148,4.280056142294063
