year,office,races,pred_median_D,p10,p90,actual_D,inside_80
2018,HOUSE,417,215.0,204.0,227.0,226,True
2018,SEN,33,21.0,19.0,24.0,21,True
2018,GOV,35,18.0,16.0,21.0,16,True
2020,HOUSE,404,218.0,209.0,228.0,208,False
2020,SEN,33,16.0,13.0,18.0,13,True
2020,GOV,0,0.0,0.0,0.0,0,True
2022,HOUSE,435,204.0,190.0,216.0,212,True
2022,SEN,31,11.0,9.0,13.0,13,True
2022,GOV,32,15.0,13.0,17.0,17,True
2024,HOUSE,368,175.0,162.0,187.0,183,True
2024,SEN,33,16.0,13.0,18.0,18,True
2024,GOV,0,0.0,0.0,0.0,0,True
